HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,9472,5,5
1,39200,22,22
2,44480,56,56
3,5088,88,88
4,672,118,118
5,704,134,134
6,704,150,150
7,672,166,166
8,672,182,182
9,672,198,198
10,640,214,214
11,672,230,230
12,704,246,246
13,672,262,262
14,672,278,278
15,672,294,294
16,832,310,310
17,704,326,326
18,704,342,342
19,672,358,358
20,704,374,374
21,672,390,390
22,704,406,406
23,704,422,422
24,704,438,438
25,672,454,454
26,704,470,470
27,864,486,486
28,672,502,502
29,704,518,518
30,704,534,534
31,672,550,550
32,672,566,566
33,736,582,582
34,672,598,598
35,704,614,614
36,672,630,630
37,704,646,646
38,672,662,662
39,672,678,678
40,704,694,694
41,672,710,710
42,704,726,726
43,672,742,742
44,672,758,758
45,704,774,774
46,672,790,790
47,704,806,806
48,704,822,822
49,864,838,838
50,672,854,854
51,704,870,870
52,672,886,886
53,704,902,902
54,672,918,918
55,704,934,934
56,672,950,950
57,672,966,966
58,672,982,982
59,704,998,998
60,672,1014,1014
61,672,1030,1030
62,704,1046,1046
63,672,1062,1062
64,672,1078,1078
65,704,1094,1094
66,704,1110,1110
67,736,1126,1126
68,672,1142,1142
69,704,1158,1158
70,704,1174,1174
71,704,1190,1190
72,1056,1206,1206
73,832,1222,1222
74,672,1238,1238
75,672,1254,1254
76,704,1270,1270
77,704,1286,1286
78,672,1302,1302
79,704,1318,1318
80,704,1334,1334
81,672,1350,1350
82,672,1366,1366
83,800,1382,1382
84,672,1398,1398
85,704,1414,1414
86,672,1430,1430
87,704,1446,1446
88,704,1462,1462
89,704,1478,1478
90,672,1494,1494
91,704,1510,1510
92,736,1526,1526
93,672,1542,1542
94,704,1558,1558
95,704,1574,1574
96,672,1590,1590
97,672,1606,1606
98,672,1622,1622
99,704,1638,1638
100,704,1654,1654
101,896,1670,1670
102,704,1686,1686
103,672,1702,1702
104,672,1718,1718
105,896,1734,1734
106,704,1750,1750
107,672,1766,1766
108,672,1782,1782
109,768,1798,1798
110,672,1814,1814
111,704,1830,1830
112,704,1846,1846
113,704,1862,1862
114,704,1878,1878
115,672,1894,1894
116,704,1910,1910
117,704,1926,1926
118,672,1942,1942
119,672,1958,1958
120,672,1974,1974
121,704,1990,1990
122,672,2006,2006
123,672,2022,2022
124,704,2038,2038
125,6432,2054,2054
126,704,2070,2070
127,672,2086,2086
128,832,2102,2102
129,672,2118,2118
130,704,2134,2134
131,704,2150,2150
132,672,2166,2166
133,736,2182,2182
134,704,2198,2198
135,704,2214,2214
136,704,2230,2230
137,704,2246,2246
138,704,2262,2262
139,704,2278,2278
140,672,2294,2294
141,672,2310,2310
142,704,2326,2326
143,672,2342,2342
144,672,2358,2358
145,704,2374,2374
146,672,2390,2390
147,704,2406,2406
148,704,2422,2422
149,672,2438,2438
150,672,2454,2454
151,704,2470,2470
152,704,2486,2486
153,672,2502,2502
154,704,2518,2518
155,736,2534,2534
156,704,2550,2550
157,736,2566,2566
158,672,2582,2582
159,672,2598,2598
160,672,2614,2614
161,640,2630,2630
162,640,2646,2646
163,672,2662,2662
164,640,2678,2678
165,672,2694,2694
166,672,2710,2710
167,672,2726,2726
168,672,2742,2742
169,672,2758,2758
170,672,2774,2774
171,672,2790,2790
172,672,2806,2806
173,672,2822,2822
174,640,2838,2838
175,672,2854,2854
176,672,2870,2870
177,672,2886,2886
178,672,2902,2902
179,672,2918,2918
180,672,2934,2934
181,672,2950,2950
182,672,2966,2966
183,672,2982,2982
184,672,2998,2998
185,672,3014,3014
186,672,3030,3030
187,672,3046,3046
188,672,3062,3062
189,672,3078,3078
190,672,3094,3094
191,672,3110,3110
192,672,3126,3126
193,672,3142,3142
194,672,3158,3158
195,672,3174,3174
196,672,3190,3190
197,672,3206,3206
198,672,3222,3222
199,640,3238,3238
200,672,3254,3254
201,704,3270,3270
202,704,3286,3286
203,704,3302,3302
204,672,3318,3318
205,672,3334,3334
206,672,3350,3350
207,672,3366,3366
208,672,3382,3382
209,640,3398,3398
210,640,3414,3414
211,704,3430,3430
212,672,3446,3446
213,672,3462,3462
214,672,3478,3478
215,672,3494,3494
216,672,3510,3510
217,672,3526,3526
218,672,3542,3542
219,672,3558,3558
220,768,3574,3574
221,672,3590,3590
222,672,3606,3606
223,672,3622,3622
224,672,3638,3638
225,640,3654,3654
226,672,3670,3670
227,672,3686,3686
228,672,3702,3702
229,672,3718,3718
230,672,3734,3734
231,672,3750,3750
232,704,3766,3766
233,704,3782,3782
234,672,3798,3798
235,800,3814,3814
236,672,3830,3830
237,672,3846,3846
238,672,3862,3862
239,672,3878,3878
240,672,3894,3894
241,672,3910,3910
242,672,3926,3926
243,736,3942,3942
244,672,3958,3958
245,704,3974,3974
246,704,3990,3990
247,672,4006,4006
248,672,4022,4022
249,672,4038,4038
250,672,4054,4054
251,672,4070,4070
252,672,4086,4086
253,672,4102,4102
254,672,4118,4118
255,640,4134,4134
256,672,4150,4150
257,672,4166,4166
258,704,4182,4182
259,640,4198,4198
260,672,4214,4214
261,672,4230,4230
262,672,4246,4246
263,672,4262,4262
264,672,4278,4278
265,672,4294,4294
266,832,4310,4310
267,640,4326,4326
268,672,4342,4342
269,672,4358,4358
270,672,4374,4374
271,672,4390,4390
272,672,4406,4406
273,672,4422,4422
274,672,4438,4438
275,672,4454,4454
276,672,4470,4470
277,672,4486,4486
278,672,4502,4502
279,640,4518,4518
280,672,4534,4534
281,672,4550,4550
282,672,4566,4566
283,672,4582,4582
284,672,4598,4598
285,672,4614,4614
286,672,4630,4630
287,672,4646,4646
288,672,4662,4662
289,864,4678,4678
290,672,4694,4694
291,640,4710,4710
292,672,4726,4726
293,672,4742,4742
294,672,4758,4758
295,800,4774,4774
296,672,4790,4790
297,704,4806,4806
298,672,4822,4822
299,672,4838,4838
300,672,4854,4854
301,672,4870,4870
302,672,4886,4886
303,672,4902,4902
304,672,4918,4918
305,672,4934,4934
306,672,4950,4950
307,640,4966,4966
308,672,4982,4982
309,672,4998,4998
310,672,5014,5014
311,672,5030,5030
312,832,5046,5046
313,672,5062,5062
314,672,5078,5078
315,672,5094,5094
316,672,5110,5110
317,672,5126,5126
318,672,5142,5142
319,672,5158,5158
320,672,5174,5174
321,704,5190,5190
322,672,5206,5206
323,672,5222,5222
324,672,5238,5238
325,704,5254,5254
326,640,5270,5270
327,640,5286,5286
328,672,5302,5302
329,672,5318,5318
330,672,5334,5334
331,672,5350,5350
332,672,5366,5366
333,672,5382,5382
334,672,5398,5398
335,640,5414,5414
336,672,5430,5430
337,672,5446,5446
338,672,5462,5462
339,672,5478,5478
340,768,5494,5494
341,672,5510,5510
342,704,5526,5526
343,672,5542,5542
344,672,5558,5558
345,672,5574,5574
346,672,5590,5590
347,672,5606,5606
348,672,5622,5622
349,672,5638,5638
350,672,5654,5654
351,672,5670,5670
352,672,5686,5686
353,672,5702,5702
354,672,5718,5718
355,672,5734,5734
356,672,5750,5750
357,672,5766,5766
358,672,5782,5782
359,704,5798,5798
360,672,5814,5814
361,672,5830,5830
362,4394432,5846,5846
363,704,5862,5862
364,704,5878,5878
365,672,5894,5894
366,704,5910,5910
367,672,5926,5926
368,672,5942,5942
369,672,5958,5958
370,800,5974,5974
371,672,5990,5990
372,672,6006,6006
373,672,6022,6022
374,672,6038,6038
375,672,6054,6054
376,672,6070,6070
377,672,6086,6086
378,704,6102,6102
379,672,6118,6118
380,704,6134,6134
381,704,6150,6150
382,704,6166,6166
383,672,6182,6182
384,672,6198,6198
385,672,6214,6214
386,704,6230,6230
387,704,6246,6246
388,832,6262,6262
389,672,6278,6278
390,704,6294,6294
391,704,6310,6310
392,736,6326,6326
393,672,6342,6342
394,672,6358,6358
395,672,6374,6374
396,704,6390,6390
397,672,6406,6406
398,672,6422,6422
399,704,6438,6438
400,704,6454,6454
401,672,6470,6470
402,704,6486,6486
403,704,6502,6502
404,672,6518,6518
405,768,6534,6534
406,672,6550,6550
407,672,6566,6566
408,672,6582,6582
409,800,6598,6598
410,672,6614,6614
411,640,6630,6630
412,704,6646,6646
413,736,6662,6662
414,672,6678,6678
415,704,6694,6694
416,672,6710,6710
417,672,6726,6726
418,704,6742,6742
419,736,6758,6758
420,800,6774,6774
421,736,6790,6790
422,704,6806,6806
423,672,6822,6822
424,704,6838,6838
425,672,6854,6854
426,672,6870,6870
427,672,6886,6886
428,704,6902,6902
429,672,6918,6918
430,672,6934,6934
431,704,6950,6950
432,672,6966,6966
433,672,6982,6982
434,672,6998,6998
435,672,7014,7014
436,672,7030,7030
437,672,7046,7046
438,704,7062,7062
439,704,7078,7078
440,672,7094,7094
441,704,7110,7110
442,704,7126,7126
443,704,7142,7142
444,672,7158,7158
445,704,7174,7174
446,672,7190,7190
447,704,7206,7206
448,864,7222,7222
449,704,7238,7238
450,704,7254,7254
451,704,7270,7270
452,672,7286,7286
453,672,7302,7302
454,704,7318,7318
455,832,7334,7334
456,672,7350,7350
457,704,7366,7366
458,704,7382,7382
459,672,7398,7398
460,704,7414,7414
461,736,7430,7430
462,672,7446,7446
463,704,7462,7462
464,672,7478,7478
465,672,7494,7494
466,672,7510,7510
467,704,7526,7526
468,672,7542,7542
469,672,7558,7558
470,704,7574,7574
471,672,7590,7590
472,672,7606,7606
473,704,7622,7622
474,672,7638,7638
475,672,7654,7654
476,704,7670,7670
477,672,7686,7686
478,672,7702,7702
479,704,7718,7718
480,704,7734,7734
481,672,7750,7750
482,672,7766,7766
483,704,7782,7782
484,672,7798,7798
485,736,7814,7814
486,704,7830,7830
487,672,7846,7846
488,704,7862,7862
489,704,7878,7878
490,704,7894,7894
491,704,7910,7910
492,672,7926,7926
493,672,7942,7942
494,672,7958,7958
495,672,7974,7974
496,672,7990,7990
497,704,8006,8006
498,672,8022,8022
499,672,8038,8038
500,672,8054,8054
501,704,8070,8070
502,704,8086,8086
503,736,8102,8102
504,672,8118,8118
505,672,8134,8134
506,672,8150,8150
507,704,8166,8166
508,672,8182,8182
509,672,8198,8198
510,672,8214,8214
511,704,8230,8230
512,704,8246,8246
513,704,8262,8262
514,672,8278,8278
515,704,8294,8294
516,832,8310,8310
517,672,8326,8326
518,672,8342,8342
519,704,8358,8358
520,672,8374,8374
521,672,8390,8390
522,704,8406,8406
523,704,8422,8422
524,672,8438,8438
525,704,8454,8454
526,704,8470,8470
527,960,8486,8486
528,672,8502,8502
529,704,8518,8518
530,704,8534,8534
531,672,8550,8550
532,672,8566,8566
533,672,8582,8582
534,672,8598,8598
535,704,8614,8614
536,704,8630,8630
537,672,8646,8646
538,672,8662,8662
539,704,8678,8678
540,672,8694,8694
541,704,8710,8710
542,704,8726,8726
543,704,8742,8742
544,704,8758,8758
545,704,8774,8774
546,672,8790,8790
547,704,8806,8806
548,672,8822,8822
549,672,8838,8838
550,704,8854,8854
551,832,8870,8870
552,704,8886,8886
553,704,8902,8902
554,736,8918,8918
555,832,8934,8934
556,672,8950,8950
557,672,8966,8966
558,704,8982,8982
559,704,8998,8998
560,704,9014,9014
561,832,9030,9030
562,704,9046,9046
563,672,9062,9062
564,672,9078,9078
565,704,9094,9094
566,672,9110,9110
567,672,9126,9126
568,672,9142,9142
569,704,9158,9158
570,672,9174,9174
571,672,9190,9190
572,704,9206,9206
573,704,9222,9222
574,672,9238,9238
575,672,9254,9254
576,672,9270,9270
577,672,9286,9286
578,672,9302,9302
579,672,9318,9318
580,672,9334,9334
581,672,9350,9350
582,7616,9366,9366
583,704,9382,9382
584,704,9398,9398
585,672,9414,9414
586,672,9430,9430
587,704,9446,9446
588,704,9462,9462
589,704,9478,9478
590,736,9494,9494
591,6144,9510,9510
592,672,9526,9526
593,704,9542,9542
594,672,9558,9558
595,704,9574,9574
596,704,9590,9590
597,704,9606,9606
598,704,9622,9622
599,704,9638,9638
600,832,9654,9654
601,704,9670,9670
602,672,9686,9686
603,672,9702,9702
604,704,9718,9718
605,704,9734,9734
606,672,9750,9750
607,672,9766,9766
608,704,9782,9782
609,960,9798,9798
610,704,9814,9814
611,704,9830,9830
612,672,9846,9846
613,704,9862,9862
614,704,9878,9878
615,704,9894,9894
616,704,9910,9910
617,704,9926,9926
618,672,9942,9942
619,768,9958,9958
620,672,9974,9974
621,704,9990,9990
622,672,10006,10006
623,672,10022,10022
624,704,10038,10038
625,704,10054,10054
626,672,10070,10070
627,672,10086,10086
628,672,10102,10102
629,704,10118,10118
630,736,10134,10134
631,672,10150,10150
632,704,10166,10166
633,672,10182,10182
634,672,10198,10198
635,704,10214,10214
636,704,10230,10230
637,704,10246,10246
638,672,10262,10262
639,704,10278,10278
640,704,10294,10294
641,672,10310,10310
642,672,10326,10326
643,704,10342,10342
644,672,10358,10358
645,672,10374,10374
646,704,10390,10390
647,672,10406,10406
648,672,10422,10422
649,672,10438,10438
650,704,10454,10454
651,672,10470,10470
652,672,10486,10486
653,800,10502,10502
654,832,10518,10518
655,672,10534,10534
656,672,10550,10550
657,672,10566,10566
658,704,10582,10582
659,672,10598,10598
660,832,10614,10614
661,704,10630,10630
662,704,10646,10646
663,672,10662,10662
664,640,10678,10678
665,672,10694,10694
666,672,10710,10710
667,672,10726,10726
668,672,10742,10742
669,672,10758,10758
670,672,10774,10774
671,672,10790,10790
672,672,10806,10806
673,672,10822,10822
674,672,10838,10838
675,672,10854,10854
676,672,10870,10870
677,704,10886,10886
678,672,10902,10902
679,672,10918,10918
680,672,10934,10934
681,672,10950,10950
682,672,10966,10966
