HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
327,640,5284,5284
328,672,5300,5300
329,672,5316,5316
330,672,5332,5332
331,640,5348,5348
332,704,5364,5364
333,672,5380,5380
334,672,5396,5396
335,736,5412,5412
336,672,5428,5428
337,672,5444,5444
338,768,5460,5460
339,672,5476,5476
340,672,5492,5492
341,640,5508,5508
342,672,5524,5524
343,672,5540,5540
344,672,5556,5556
345,672,5572,5572
346,672,5588,5588
347,640,5604,5604
348,672,5620,5620
349,640,5636,5636
350,672,5652,5652
351,672,5668,5668
352,672,5684,5684
353,672,5700,5700
354,640,5716,5716
355,640,5732,5732
356,672,5748,5748
357,672,5764,5764
358,672,5780,5780
359,672,5796,5796
360,672,5812,5812
361,672,5828,5828
362,4568128,5844,5844
363,704,5860,5860
364,672,5876,5876
365,928,5892,5892
366,736,5908,5908
367,672,5924,5924
368,704,5940,5940
369,672,5956,5956
370,736,5972,5972
371,672,5988,5988
372,672,6004,6004
373,672,6020,6020
374,672,6036,6036
375,672,6052,6052
376,672,6068,6068
377,672,6084,6084
378,672,6100,6100
379,704,6116,6116
380,672,6132,6132
381,704,6148,6148
382,800,6164,6164
383,672,6180,6180
384,704,6196,6196
385,672,6212,6212
386,704,6228,6228
387,672,6244,6244
388,672,6260,6260
389,704,6276,6276
390,672,6292,6292
391,704,6308,6308
392,704,6324,6324
393,672,6340,6340
394,672,6356,6356
395,704,6372,6372
396,704,6388,6388
397,672,6404,6404
398,672,6420,6420
399,704,6436,6436
400,672,6452,6452
401,704,6468,6468
402,736,6484,6484
403,672,6500,6500
404,704,6516,6516
405,704,6532,6532
406,704,6548,6548
407,704,6564,6564
408,672,6580,6580
409,704,6596,6596
410,832,6612,6612
411,672,6628,6628
412,704,6644,6644
413,672,6660,6660
414,704,6676,6676
415,672,6692,6692
416,672,6708,6708
417,672,6724,6724
418,672,6740,6740
419,672,6756,6756
420,704,6772,6772
421,704,6788,6788
422,928,6804,6804
423,704,6820,6820
424,672,6836,6836
425,672,6852,6852
426,704,6868,6868
427,896,6884,6884
428,672,6900,6900
429,672,6916,6916
430,704,6932,6932
431,672,6948,6948
432,704,6964,6964
433,672,6980,6980
434,704,6996,6996
435,704,7012,7012
436,672,7028,7028
437,672,7044,7044
438,704,7060,7060
439,704,7076,7076
440,672,7092,7092
441,704,7108,7108
442,704,7124,7124
443,672,7140,7140
444,704,7156,7156
445,672,7172,7172
446,672,7188,7188
447,704,7204,7204
448,672,7220,7220
449,672,7236,7236
450,704,7252,7252
451,704,7268,7268
452,672,7284,7284
453,672,7300,7300
454,704,7316,7316
455,992,7332,7332
456,704,7348,7348
457,672,7364,7364
458,672,7380,7380
459,672,7396,7396
460,704,7412,7412
461,672,7428,7428
462,672,7444,7444
463,672,7460,7460
464,672,7476,7476
465,672,7492,7492
466,672,7508,7508
467,672,7524,7524
468,672,7540,7540
469,704,7556,7556
470,672,7572,7572
471,672,7588,7588
472,704,7604,7604
473,672,7620,7620
474,672,7636,7636
475,704,7652,7652
476,704,7668,7668
