HUD frame time nsec:,16426000

Range Index,Elapsed Time, First Event,Last Event
0,4512,5,5
1,704,36,36
2,9632,42,42
3,43584,61,61
4,123840,97,97
5,9696,131,131
6,704,163,163
7,704,181,181
8,736,199,199
9,768,217,217
10,704,235,235
11,736,253,253
12,672,271,271
13,672,289,289
14,704,307,307
15,672,325,325
16,704,343,343
17,736,361,361
18,704,379,379
19,704,397,397
20,672,415,415
21,704,433,433
22,704,451,451
23,672,469,469
24,704,487,487
25,672,505,505
26,704,523,523
27,672,541,541
28,736,559,559
29,672,577,577
30,704,595,595
31,672,613,613
32,704,631,631
33,672,649,649
34,704,667,667
35,672,685,685
36,704,703,703
37,704,721,721
38,704,739,739
39,736,757,757
40,672,775,775
41,672,793,793
42,704,811,811
43,704,829,829
44,704,847,847
45,704,865,865
46,704,883,883
47,704,901,901
48,704,919,919
49,736,937,937
50,704,955,955
51,928,973,973
52,704,991,991
53,672,1009,1009
54,704,1027,1027
55,704,1045,1045
56,704,1063,1063
57,672,1081,1081
58,736,1099,1099
59,736,1117,1117
60,672,1135,1135
61,800,1153,1153
62,704,1171,1171
63,672,1189,1189
64,672,1207,1207
65,704,1225,1225
66,704,1243,1243
67,672,1261,1261
68,704,1279,1279
69,704,1297,1297
70,736,1315,1315
71,672,1333,1333
72,896,1351,1351
73,704,1369,1369
74,704,1387,1387
75,672,1405,1405
76,704,1423,1423
77,704,1441,1441
78,704,1459,1459
79,736,1477,1477
80,672,1495,1495
81,672,1513,1513
82,704,1531,1531
83,800,1549,1549
84,736,1567,1567
85,704,1585,1585
86,704,1603,1603
87,704,1621,1621
88,704,1639,1639
89,704,1657,1657
90,704,1675,1675
91,704,1693,1693
92,704,1711,1711
93,704,1729,1729
94,960,1747,1747
95,672,1765,1765
96,672,1783,1783
97,672,1801,1801
98,704,1819,1819
99,768,1837,1837
100,704,1855,1855
101,736,1873,1873
102,672,1891,1891
103,704,1909,1909
104,736,1927,1927
105,736,1945,1945
106,672,1963,1963
107,672,1981,1981
108,672,1999,1999
109,672,2017,2017
110,672,2035,2035
111,704,2053,2053
112,704,2071,2071
113,704,2089,2089
114,672,2107,2107
115,768,2125,2125
116,672,2143,2143
117,704,2161,2161
118,672,2179,2179
119,704,2197,2197
120,704,2215,2215
121,736,2233,2233
122,704,2251,2251
123,704,2269,2269
124,800,2287,2287
125,704,2305,2305
126,736,2323,2323
127,704,2341,2341
128,672,2359,2359
129,704,2377,2377
130,672,2395,2395
131,768,2413,2413
132,704,2431,2431
