HUD frame time nsec:,16650000

Range Index,Elapsed Time, First Event,Last Event
0,20736,5,5
1,41792,24,24
2,136224,60,60
3,7552,94,94
4,704,126,126
5,736,144,144
6,704,162,162
7,704,180,180
8,672,198,198
9,672,216,216
10,672,234,234
11,672,252,252
12,672,270,270
13,672,288,288
14,704,306,306
15,672,324,324
16,672,342,342
17,672,360,360
18,672,378,378
19,704,396,396
20,672,414,414
21,704,432,432
22,672,450,450
23,704,468,468
24,672,486,486
25,672,504,504
26,704,522,522
27,672,540,540
28,672,558,558
29,672,576,576
30,672,594,594
31,672,612,612
32,704,630,630
33,704,648,648
34,672,666,666
35,672,684,684
36,768,702,702
37,704,720,720
38,736,738,738
39,672,756,756
40,672,774,774
41,704,792,792
42,768,810,810
43,672,828,828
44,672,846,846
45,704,864,864
46,704,882,882
47,672,900,900
48,704,918,918
49,672,936,936
50,672,954,954
51,704,972,972
52,672,990,990
53,704,1008,1008
54,704,1026,1026
55,704,1044,1044
56,672,1062,1062
57,672,1080,1080
58,704,1098,1098
59,704,1116,1116
60,672,1134,1134
61,704,1152,1152
62,672,1170,1170
63,704,1188,1188
64,704,1206,1206
65,672,1224,1224
66,704,1242,1242
67,736,1260,1260
68,704,1278,1278
69,704,1296,1296
70,672,1314,1314
71,672,1332,1332
72,672,1350,1350
73,672,1368,1368
74,672,1386,1386
75,672,1404,1404
76,704,1422,1422
77,672,1440,1440
78,704,1458,1458
79,672,1476,1476
80,704,1494,1494
81,704,1512,1512
82,704,1530,1530
83,672,1548,1548
84,672,1566,1566
85,672,1584,1584
86,704,1602,1602
87,672,1620,1620
88,704,1638,1638
89,704,1656,1656
90,672,1674,1674
91,704,1692,1692
92,672,1710,1710
93,832,1728,1728
94,704,1746,1746
95,672,1764,1764
96,704,1782,1782
97,672,1800,1800
98,672,1818,1818
99,672,1836,1836
100,704,1854,1854
101,704,1872,1872
102,704,1890,1890
103,704,1908,1908
104,896,1926,1926
105,704,1944,1944
